"","species","observed","predicted","subplot","plot","year","planted_richness","sown"
"381","Agropyron repens",0,0,45,4,6,1,0
"382","Agrostis scabra",212.75,80.4002152546093,45,4,6,1,1
"383","Andropogon gerardi",0,0,45,4,6,1,0
"384","Poa pratensis",0,0,45,4,6,1,0
"385","Schizachyrium scoparium",0,0,45,4,6,1,0
"386","Agropyron repens",0,0,54,4,6,1,0
"387","Agrostis scabra",54,75.564649578368,54,4,6,1,1
"388","Andropogon gerardi",0,0,54,4,6,1,0
"389","Poa pratensis",0,0,54,4,6,1,0
"390","Schizachyrium scoparium",0,0,54,4,6,1,0
"391","Agropyron repens",0,0,55,4,6,1,0
"392","Agrostis scabra",75.825,73.5824761070664,55,4,6,1,1
"393","Andropogon gerardi",0,0,55,4,6,1,0
"394","Poa pratensis",0,0,55,4,6,1,0
"395","Schizachyrium scoparium",0,0,55,4,6,1,0
"396","Agropyron repens",71.5,60.4460819554585,57,4,6,1,1
"397","Agrostis scabra",0,0,57,4,6,1,0
"398","Andropogon gerardi",0,0,57,4,6,1,0
"399","Poa pratensis",0,0,57,4,6,1,0
"400","Schizachyrium scoparium",0,0,57,4,6,1,0
"401","Agropyron repens",84.25,58.1669430626004,59,4,6,1,1
"402","Agrostis scabra",0,0,59,4,6,1,0
"403","Andropogon gerardi",0,0,59,4,6,1,0
"404","Poa pratensis",0,0,59,4,6,1,0
"405","Schizachyrium scoparium",0,0,59,4,6,1,0
"406","Agropyron repens",0,0,62,4,6,1,0
"407","Agrostis scabra",0,0,62,4,6,1,0
"408","Andropogon gerardi",0,0,62,4,6,1,0
"409","Poa pratensis",0,0,62,4,6,1,0
"410","Schizachyrium scoparium",137.75,90.0416704775544,62,4,6,1,1
"411","Agropyron repens",0,0,63,4,6,1,0
"412","Agrostis scabra",0,0,63,4,6,1,0
"413","Andropogon gerardi",0,0,63,4,6,1,0
"414","Poa pratensis",60.25,64.0368602433994,63,4,6,1,1
"415","Schizachyrium scoparium",0,0,63,4,6,1,0
"416","Agropyron repens",0,0,64,4,6,1,0
"417","Agrostis scabra",0,0,64,4,6,1,0
"418","Andropogon gerardi",0,0,64,4,6,1,0
"419","Poa pratensis",0,0,64,4,6,1,0
"420","Schizachyrium scoparium",143.25,89.5587502664293,64,4,6,1,1
"421","Agropyron repens",30.45,32.6818012965817,1,5,6,1,1
"422","Agrostis scabra",0,0,1,5,6,1,0
"423","Andropogon gerardi",0,0,1,5,6,1,0
"424","Poa pratensis",0,0,1,5,6,1,0
"425","Schizachyrium scoparium",0,0,1,5,6,1,0
"426","Agropyron repens",42,33.5660036212675,2,5,6,1,1
"427","Agrostis scabra",0,0,2,5,6,1,0
"428","Andropogon gerardi",0,0,2,5,6,1,0
"429","Poa pratensis",0,0,2,5,6,1,0
"430","Schizachyrium scoparium",0,0,2,5,6,1,0
"431","Agropyron repens",0,0,13,5,6,1,0
"432","Agrostis scabra",0,0,13,5,6,1,0
"433","Andropogon gerardi",0,0,13,5,6,1,0
"434","Poa pratensis",0,0,13,5,6,1,0
"435","Schizachyrium scoparium",39.625,43.13150089873,13,5,6,1,1
"436","Agropyron repens",0,0,16,5,6,1,0
"437","Agrostis scabra",170.75,39.6096788524888,16,5,6,1,1
"438","Andropogon gerardi",0,0,16,5,6,1,0
"439","Poa pratensis",0,0,16,5,6,1,0
"440","Schizachyrium scoparium",0,0,16,5,6,1,0
"441","Agropyron repens",0,0,17,5,6,1,0
"442","Agrostis scabra",0,0,17,5,6,1,0
"443","Andropogon gerardi",56.75,45.3444364746372,17,5,6,1,1
"444","Poa pratensis",0,0,17,5,6,1,0
"445","Schizachyrium scoparium",0,0,17,5,6,1,0
"446","Agropyron repens",0,0,18,5,6,1,0
"447","Agrostis scabra",0,0,18,5,6,1,0
"448","Andropogon gerardi",0,0,18,5,6,1,0
"449","Poa pratensis",32.25,47.3056671049138,18,5,6,1,1
"450","Schizachyrium scoparium",0,0,18,5,6,1,0
"451","Agropyron repens",0,0,20,5,6,1,0
"452","Agrostis scabra",44.85,43.1115865273258,20,5,6,1,1
"453","Andropogon gerardi",0,0,20,5,6,1,0
"454","Poa pratensis",0,0,20,5,6,1,0
"455","Schizachyrium scoparium",0,0,20,5,6,1,0
"456","Agropyron repens",28,26.2836659870368,21,5,6,1,1
"457","Agrostis scabra",0,0,21,5,6,1,0
"458","Andropogon gerardi",0,0,21,5,6,1,0
"459","Poa pratensis",0,0,21,5,6,1,0
"460","Schizachyrium scoparium",0,0,21,5,6,1,0
"461","Agropyron repens",0,0,25,5,6,1,0
"462","Agrostis scabra",0,0,25,5,6,1,0
"463","Andropogon gerardi",0,0,25,5,6,1,0
"464","Poa pratensis",0,0,25,5,6,1,0
"465","Schizachyrium scoparium",81.75,45.6277850046108,25,5,6,1,1
"466","Agropyron repens",0,0,26,5,6,1,0
"467","Agrostis scabra",0,0,26,5,6,1,0
"468","Andropogon gerardi",79.25,46.2731110273334,26,5,6,1,1
"469","Poa pratensis",0,0,26,5,6,1,0
"470","Schizachyrium scoparium",0,0,26,5,6,1,0
"471","Agropyron repens",26.75,32.0883124911144,29,5,6,1,1
"472","Agrostis scabra",0,0,29,5,6,1,0
"473","Andropogon gerardi",0,0,29,5,6,1,0
"474","Poa pratensis",0,0,29,5,6,1,0
"475","Schizachyrium scoparium",0,0,29,5,6,1,0
"476","Agropyron repens",19,36.3248604183906,31,5,6,1,1
"477","Agrostis scabra",0,0,31,5,6,1,0
"478","Andropogon gerardi",0,0,31,5,6,1,0
"479","Poa pratensis",0,0,31,5,6,1,0
"480","Schizachyrium scoparium",0,0,31,5,6,1,0
"481","Agropyron repens",0,0,33,5,6,1,0
"482","Agrostis scabra",0,0,33,5,6,1,0
"483","Andropogon gerardi",0,0,33,5,6,1,0
"484","Poa pratensis",68.25,36.3782245108863,33,5,6,1,1
"485","Schizachyrium scoparium",0,0,33,5,6,1,0
"486","Agropyron repens",0,0,35,5,6,1,0
"487","Agrostis scabra",0,0,35,5,6,1,0
"488","Andropogon gerardi",0,0,35,5,6,1,0
"489","Poa pratensis",0,0,35,5,6,1,0
"490","Schizachyrium scoparium",20.25,45.3564082767956,35,5,6,1,1
"491","Agropyron repens",0,0,36,5,6,1,0
"492","Agrostis scabra",0,0,36,5,6,1,0
"493","Andropogon gerardi",0,0,36,5,6,1,0
"494","Poa pratensis",29.5,33.5302010673341,36,5,6,1,1
"495","Schizachyrium scoparium",0,0,36,5,6,1,0
"496","Agropyron repens",30.5,30.1979072527753,42,5,6,1,1
